Bhajan name,Bhajan Link 
Ram Banu Tan Ko Taap na Jaai,https://www.ibiblio.org/ram/audio/cd_05_11.mp3
Re Mann Hari Sumiran Din Ram,https://www.ibiblio.org/ram/audio/cd_05_10.mp3
Saancha Naam Tera,https://www.ibiblio.org/ram/audio/bh10a264.mp3
Suneri Maine Nirbal Ke Bal Ram,https://www.ibiblio.org/ram/audio/bhj14a2.mp3
Satguru Mile Mere Saare Dukh Bisre,https://www.ibiblio.org/ram/audio/bhj14a4.mp3
Sabse Oonchi Prem Sagai,https://www.ibiblio.org/ram/audio/bhj14b2.mp3
Sadho Eisa Hi Guru Bhave,https://www.ibiblio.org/ram/audio/bhj15a2.mp3
Shree Ram Sharnam Vayam Prapanna,https://www.ibiblio.org/ram/audio/cd_05_01.mp3
Siya Ram Tumhare Charnno Mein,https://www.ibiblio.org/ram/audio/cd_07_04.mp3
Shree Ram Sharann mein Teri,https://www.ibiblio.org/ram/audio/cd_07_07.mp3
Sun Lijiye Vinati Hamari,https://www.ibiblio.org/ram/audio/cd_07_08.mp3
Sai Bin Darad Kareje Hoye,https://www.ibiblio.org/ram/audio/cd_08_01.mp3
Shyam Hamein Bansuri Banao,https://www.ibiblio.org/ram/audio/cd_08_08.mp3
Sahara Bus Naam Ka,https://www.ibiblio.org/ram/audio/cd_09_02.mp3
Tera Saathi Ram Manva,https://www.ibiblio.org/ram/audio/bhj05_b2.mp3
Torr De Saare Jag Ke Bandhan,https://www.ibiblio.org/ram/audio/bhj06_a1.mp3
Tera Saathi Ram Hai,https://www.ibiblio.org/ram/audio/bh10a464.mp3
Tujhse Humne Dil Hai Lagaya,https://www.ibiblio.org/ram/audio/bhj12b2.mp3
Tere Mandir Ka Hnu Deepak,https://www.ibiblio.org/ram/audio/bhj15b1.mp3
Tum Meri Raakho Laaj Hari,https://www.ibiblio.org/ram/audio/bhj15b1.mp3
Tum Taji Aur Kaun Paii Jaayun,https://www.ibiblio.org/ram/audio/cd_05_09.mp3
Tera Jeevan Hai Nissaar Ram Ke Bhajan Bina,https://www.ibiblio.org/ram/audio/cd_06_03.mp3
Tum Hi Main Hnu Main Hi Tum Ho,https://www.ibiblio.org/ram/audio/cd_09_05.mp3
Tumko Jaana hai Jahan Tak Tu Hi Tu Hai,https://www.ibiblio.org/ram/audio/cd_09_06.mp3
Tere Phoolon se bhi Pyar,https://www.ibiblio.org/ram/audio/cd_09_07.mp3
Uchchiyna Paharna Diyan,https://www.ibiblio.org/ram/audio/bhj04_a3.mp3
"Udho, Karman Ki Gati Nyari",https://www.ibiblio.org/ram/audio/bhj05_a4.mp3
Vande Ramam Sachchidanandam,https://www.ibiblio.org/ram/audio/vande.mp3
